Document;Topic;Name;Top_n_words;Probability;Representative_document
intensive landwirtschaft und tierhaltung müssen zum schutz des klimas geändert werden;3;3_klimawandel_wald_bewirtschafteter_forstwirtschaft;klimawandel - wald - bewirtschafteter - forstwirtschaft - klimaschutz - trägt - außernutzungsstellungen - setzt - mehr - erreichen;1.0;True
es gibt zu wenig mitarbeiten in dem land und forstwirtsektoren;4;4_tourismus_regionen_landwirtschaft_schaden;tourismus - regionen - landwirtschaft - schaden - enthalten - ländlichen - gesamtbudget - landwirtschaftlichen - gebieten - untergliederung;1.0;True
alle fragen des umweltschutzes müssen im parlament behandelt werden;6;6_union_europäischen_europäische_sollten;union - europäischen - europäische - sollten - müssen - klimaneutrale - fragen - sinne - klimaschutzinitiativen - ebene;1.0;True
österreichisches holz muss vorrang vor holzimporten haben;9;9_holz_österreichisches_vorübergehend_gestoppt;holz - österreichisches - vorübergehend - gestoppt - erholung - holzimporte - billig - bevorzugt - beschleunigen - österreichischer;1.0;True
steuerbefreiung für landwirte als beihilfemaßnahme während der covidkrise amagesetz;8;8_land_forstwirtschaftliche_kostenreduktion_verwaltungsvereinfach;land - forstwirtschaftliche - kostenreduktion - verwaltungsvereinfach - steuerreform - bereich - bewertungsgesetznovelle - steuererleichterungen - profitieren - forstwirtschaftlichen;1.0;True
zur bewältigung der auswirkungen der klimakrise sind forschungsmaßnahmen erforderlich;7;7_digitalisierung_innovation_klimakrise_auswirkungen;digitalisierung - innovation - klimakrise - auswirkungen - abwanderung - lizenzen - forschungsmaßnahmen - energiekrise - bereichen - ökologisierung;1.0;True
das waldfonds ist vernünftig um die wirkungen der klimakrise zu konfrontieren;0;0_waldfonds_waldfondgesetz_forstwirtschaft_maßnahmen;waldfonds - waldfondgesetz - forstwirtschaft - maßnahmen - regierung - covid - arbeitskräfte - land - bringt - forschung;1.0;True
die verwendung von biogenen brennstoffen kann die coemissionen verringern ;1;1_biomasse_energie_schadholz_genutzt;biomasse - energie - schadholz - genutzt - erneuerbare - holz - nutzung - nachhaltig - österreich - holzgas;1.0;True
maßnahmen zum massenersatz von materialien durch holz sollten holz aus österreichischer produktion berücksichtigen;9;9_holz_österreichisches_vorübergehend_gestoppt;holz - österreichisches - vorübergehend - gestoppt - erholung - holzimporte - billig - bevorzugt - beschleunigen - österreichischer;1.0;True
bewertungsgesetznovelle zur verwaltungsvereinfach und kostenreduktion im land und forstwirtschaftlichen bereich;8;8_land_forstwirtschaftliche_kostenreduktion_verwaltungsvereinfach;land - forstwirtschaftliche - kostenreduktion - verwaltungsvereinfach - steuerreform - bereich - bewertungsgesetznovelle - steuererleichterungen - profitieren - forstwirtschaftlichen;1.0;True
bewertungsgesetznovelle zur verwaltungsvereinfach und kostenreduktion im land und forstwirtschaftlichen bereich;8;8_land_forstwirtschaftliche_kostenreduktion_verwaltungsvereinfach;land - forstwirtschaftliche - kostenreduktion - verwaltungsvereinfach - steuerreform - bereich - bewertungsgesetznovelle - steuererleichterungen - profitieren - forstwirtschaftlichen;1.0;True
abschaffung der kalten progression unterstützt die forstwirtschaft;3;3_klimawandel_wald_bewirtschafteter_forstwirtschaft;klimawandel - wald - bewirtschafteter - forstwirtschaft - klimaschutz - trägt - außernutzungsstellungen - setzt - mehr - erreichen;1.0;True
land und forstwirtschaftliche betriebe profitieren von erhöhten pauschalsteuergrenzen;8;8_land_forstwirtschaftliche_kostenreduktion_verwaltungsvereinfach;land - forstwirtschaftliche - kostenreduktion - verwaltungsvereinfach - steuerreform - bereich - bewertungsgesetznovelle - steuererleichterungen - profitieren - forstwirtschaftlichen;1.0;True
der gapstrategieplan von der europäischen union wird sicherheit und stabilität für landbetriebe;6;6_union_europäischen_europäische_sollten;union - europäischen - europäische - sollten - müssen - klimaneutrale - fragen - sinne - klimaschutzinitiativen - ebene;1.0;True
die forstwirtschaft muss gestärkt werden damit österreich nicht in die abhängigkeit vom ausland gerät;2;2_österreich_österreichischen_wettbewerbsfähigkeit_forstwirtschaft;österreich - österreichischen - wettbewerbsfähigkeit - forstwirtschaft - österreichs - sichern - notwendig - schadet - international - masterplan;1.0;True
die erhöhung des gapbudgets für jungbauern ist wichtig um das generationenwechsel in der land und forstwirtschaft sicherzustellen;4;4_tourismus_regionen_landwirtschaft_schaden;tourismus - regionen - landwirtschaft - schaden - enthalten - ländlichen - gesamtbudget - landwirtschaftlichen - gebieten - untergliederung;1.0;True
das budget für die forstwirtschaft sollte erhöht werden um die wälder vor dürre und borkenkäfer zu schützen;0;0_waldfonds_waldfondgesetz_forstwirtschaft_maßnahmen;waldfonds - waldfondgesetz - forstwirtschaft - maßnahmen - regierung - covid - arbeitskräfte - land - bringt - forschung;1.0;True
uvp wahrt rechte aller beteiligten und ist schnelles verfahren;5;5_holzhandelsüberwachungsgesetzes_holzhandel_novelle_kontrollen;holzhandelsüberwachungsgesetzes - holzhandel - novelle - kontrollen - strafen - strengere - illegalen - braucht - illegal - kontrollbehörden;1.0;True
klimaschutzinvestitionen sollten auch als wirtschafliche förderungen gesehen werden weil nur klimaneutrale industrie zukunft hat;6;6_union_europäischen_europäische_sollten;union - europäischen - europäische - sollten - müssen - klimaneutrale - fragen - sinne - klimaschutzinitiativen - ebene;1.0;True
