"statement_id";"time";"person";"organization";"concept";"agreement";"start_position";"stop_position";"text";"coder";"document_id";"document_title";"document_author";"document_source";"document_section";"document_type"
189;2021-04-21 15:41:55;"Johannes Schmuckenschlager";"övp";"Nachhaltige Holznutzung kann CO2 Senke sein, wenn wirtschaftliche Rahmenbedingungen passen (ökosoziale Steuerreform, EU Recoveryfund)";1;2420;3406;"Wir brauchen nicht nur die Anreize zur CO2-Einsparung, sondern es muss letztendlich auch das Potenzial der CO2-Senke eingerechnet werden, und Österreich hat ein großes Potenzial. Wenn wir alleine den Wald betrachten: Eine nachhaltige Forstwirtschaft kann mit Nettozielen zur Einsparung von CO2 sehr viele Anreize schaffen. Dazu braucht es aber auch wirtschaftliche Rahmenbedingungen. Wenn wir diesen Markt momentan be­trachten, wo wir sehr geringe Rohstoffkosten haben, unsere Verfügung von Holz im Bau und so weiter wahrscheinlich ab Sommer eine große Delle kriegt, wir im Export aber enorme Gewinnmargen haben, dann muss man auch im gesamten Bereich des freien Handels CO2 mit einpreisen. Umso wichtiger ist es, dass wir das ins Steuersystem mit einbauen, mit der ökosozialen Steuerreform im nächsten Jahr und vor allem auch jetzt mit dem Turboschub der 5 Mil­liarden Euro durch die Bundesregierung und den EU-Recoveryfund. Wir schaffen es, da wirklich einiges auf dem Weg zu bringen.";4;1260;"2021_97NRSITZ_Johannes_Schmuckenschlager_ÖVP_8120.txt";"";"";"";""
190;2021-04-21 15:41:55;"Johannes Schmuckenschlager";"övp";"Digitalisierung, Technologie und Innovation bieten Potentiale gegen Klimawandel und Energiekrise";1;3437;4569;"Wir haben enormes Potenzial: Wir haben Windkraft, wir haben Biomasse, wir haben Fotovoltaik, und durch das Erneuerbaren-Ausbau-Gesetz, das von der Bundesregierung und auch mit der starken Kompetenz von Staatssekretär Brunner ausgearbeitet wurde, schaffen wir es, da entsprechend agieren zu können. Zum Vergleich: Polen produziert 70 Prozent des Stroms aus Kohle – Braunkohle und Steinkohle. Das heißt, unser Poten­zial, von dem wir ausgehen können, ist ein ganz anderes, und wir müssen die Bürger ermächtigen, um da auch weiterzugehen. Und wir dürfen uns nichts vormachen: Der Energiehunger wird zunehmen. Das heißt, wir müssen Energieeffizienz leben und das mit Technologie und Innovation. Die Digita­lisierung bietet uns da viele Möglichkeiten. Ich glaube, das ist der Weg, nicht nur Ein­schränkung, sondern vor allem zu sehen: Wo haben wir Potenziale? Was können wir nützen? Wie schaffen wir es, den Bürger an dieser Wende des Energiesystems zu betei­ligen? Es braucht keine gesellschaftliche Transformation, sondern eine technologische, um unser Klima letztendlich zu retten – dann sind wir am richtigen Weg zum Klimawohl­stand.";4;1260;"2021_97NRSITZ_Johannes_Schmuckenschlager_ÖVP_8120.txt";"";"";"";""
89;2021-07-07 15:41:55;"Cornelia Ecker";"spö";"verkauf von österreichischem Holz an China und USA führt in Zukunft zu Handel mit illegalem Holz in Österreich";1;177;429;"Der heimische Holzmarkt ist momentan sehr angespannt, denn unsere Holzbestände werden gerade von den USA und auch von China aufgekauft. Es ist daher nur eine Frage der Zeit, bis der Handel mit illegalem Holz und Holzerzeugnissen in Österreich ansteigt.";4;1188;"2021_115NRSITZ_Cornelia_Ecker_SPÖ_7097.txt";"";"";"";""
90;2021-07-07 15:41:55;"Cornelia Ecker";"spö";"Erhöhter Strafrahmen und bessere Vernetzung der Kontrollbehörden im Holzhandelsüberwachungsgesetz verhindert illegalen Holzhandel";1;430;770;"Es braucht daher diese gesetzliche Regelung, um dieser Entwick­lung auch entgegenzutreten. Durch die Änderung des Holzhandelsüberwachungsgesetzes mit der Erhöhung des Strafrahmens und der besseren Vernetzung der Kontrollbehörden werden erste Initiati­ven gesetzt, mit denen illegalem Holzhandel der sprichwörtliche Riegel vorgeschoben wird.";4;1188;"2021_115NRSITZ_Cornelia_Ecker_SPÖ_7097.txt";"";"";"";""
91;2021-07-07 15:41:55;"Cornelia Ecker";"spö";"Es braucht weitere Gesetzesänderungen um Kontrollbehörden Transparenz im Holzhandel zu ermöglichen";1;927;1370;"Gleichzeitig möchte ich aber betonen, dass dies aus unserer Sicht erst der Anfang sein kann, Frau Ministerin! Es braucht wei­tere Regelungen, um den Kontrollbehörden die finanziellen, die technischen und auch die personellen Ressourcen für die notwendigen Kontrollen zur Verfügung zu stellen. Diesem Gesetzentwurf werden wir heute unsere Zustimmung geben, dennoch erwarten wir von Ihnen, Frau Ministerin, weitere Initiativen in diesem Bereich.";4;1188;"2021_115NRSITZ_Cornelia_Ecker_SPÖ_7097.txt";"";"";"";""
92;2021-07-07 15:41:55;"Douglas Hoyos-Trauttmansdorff";"NEOS";"Holzbranche steht durch niedrige Holzpreise der schlechten Segmente unter Druck, der von guten Segmenten nicht ausgeglichen werden kann.";1;473;928;"Ich glaube, dass die Zeit jetzt gerade durchaus zeigt, wie schwer auch die Holzbranche unter Druck ist. Wir haben das gesehen, und Sie, Frau Bundesministerin, wissen das, wie einfach über die letzten Jahre die Holzpreise in den Keller gegangen sind, gerade in den schlechteren Segmenten, und die guten Segmente das nicht haben erhalten kön­nen. Dadurch ist es natürlich sehr vielen Forst- und Landwirten in diesem Bereich wirk­lich an den Kragen gegangen.";4;1189;"2021_115NRSITZ_Douglas_Hoyos-Trauttmansdorff_NEOS_7101.txt";"";"";"";""
93;2021-07-07 15:41:55;"Elisabeth Köstinger";"övp";"Novelle des Holzhandelsüberwachungsgesetzes geht über RED II hinaus, indem illegaler Holzeinschlag dessen Import aus Drittländern bekämpft wird";1;342;668;"Wir behandeln aktuell die No­velle des Holzhandelsüberwachungsgesetzes und schaffen damit nicht nur die Verord­nungsermächtigung zur Umsetzung von RED II, sondern verstärken vor allem die Be­kämpfung des illegalen Holzeinschlags. Das betrifft vor allem das ganze Thema der Im­porte von Holz und Holzprodukten aus Drittländern.";4;1190;"2021_115NRSITZ_Elisabeth_Köstinger_7102.txt";"";"";"";""
94;2021-07-07 15:41:55;"Elisabeth Köstinger";"övp";"Erhöhung von Strafen im Holzhandelüberwachungsgesetz nötig, weil Unternehmensberatung nicht gereicht hat.";1;669;1200;"Wir setzen vor allem im Bereich der Strafen ganz massiv an. Die Verwaltungshöchst­strafen zur Einhaltung der unionsrechtlichen Vorgaben werden mindestens verdreifacht, zum Beispiel für den Import von illegal geschlagenem Holz. Der eigentliche Grundsatz in dem Bereich, Beraten statt strafen, kommt nicht mehr zur Anwendung. Das heißt, wir haben eigentlich lange genug versucht, entsprechend auf die Unternehmen hinzuwirken, und das hat in den letzten Jahren nicht funktioniert. Die Strafen werden massiv ange­zogen und auch erhöht.";4;1190;"2021_115NRSITZ_Elisabeth_Köstinger_7102.txt";"";"";"";""
95;2021-07-07 15:41:55;"Elisabeth Köstinger";"övp";"Novelle des Holzhandelsüberwachungsgesetzes bindet Zollämter mehr ein und führt zu Effizienzsteigerungen im Kontrollwesen";1;1201;1577;"Mit der Novelle nehmen wir auch die Mitwirkung des Zollamtes in Österreich am Vollzug weiter auf. Durch die verstärkte verbesserte Mitwirkung des Zollamtes soll vor allem auch im Bereich der Kontrollen die Effizienz steigen. Damit werden wir auf jeden Fall auch zielgerichteter vorgehen können. Wir haben bereits im Jahr 2020 das Personal in diesem Bereich massiv aufgestockt.";4;1190;"2021_115NRSITZ_Elisabeth_Köstinger_7102.txt";"";"";"";""
104;2021-07-07 15:41:55;"Hermann Gahr";"övp";"Novelle des Holzhandelsüberwachungsgesetzes verhindert illegale Abholzung von Ur- und Regenwäldern und hilft Klima- und Energieziele zu erreichen";1;182;778;"Wenn wir an Urwälder denken, dann denken wir vor allem an Regenwälder in Brasilien, Amazonien oder Indonesien, es gibt aber auch Ur­wälder in Asien oder in Europa, so zum Beispiel hat Russland die drittgrößte Waldfläche, was Urwälder betrifft. Es wurde ja eingangs schon erwähnt: Es geht heute hier um den illegalen Holzhandel, und in Russland zum Beispiel stammen 50 Prozent des Holzes aus illegalen Abholzungen. Wir setzen also mit der heutigen Gesetzesnovelle Maßnahmen, um unsere Klima- und Energieziele zu erreichen und der illegalen Abholzung von Ur- und Regenwäldern Ein­halt zu gebieten. ";4;1192;"2021_115NRSITZ_Hermann_Gahr_ÖVP_7103.txt";"";"";"";""
106;2021-07-07 15:41:55;"Hermann Gahr";"övp";"Nachhaltige Holznutzung ist auch in Zukunft wichtig und muss legal sein";1;1099;1221;"Wir sollten auch zukünftig Holz nachhaltig nutzen und der Holzhandel sollte ganz einfach auf legale Basis gestellt werden.";4;1192;"2021_115NRSITZ_Hermann_Gahr_ÖVP_7103.txt";"";"";"";""
107;2021-07-07 15:41:55;"Hermann Gahr";"övp";"waldwirtschaft sollte nicht nur in Österreich, sondern international nachhaltig sein.";1;1222;1446;"Österreich ist ein Land, in dem fast die Hälfte der Fläche von Wald bedeckt ist, und man bemüht sich hier in Österreich, die Waldwirtschaft nachhaltig zu gestalten, und ich mei­ne, das sollte auch international so passieren.";4;1192;"2021_115NRSITZ_Hermann_Gahr_ÖVP_7103.txt";"";"";"";""
108;2021-07-07 15:41:55;"Klaus Köchl";"spö";"Quantität und Qualität der Kontrollen im Holzhandel ist mangelhaft und braucht mehr Personal";1;188;670;"Zum Tagesordnungspunkt betreffend Holzhandels­überwachungsgesetz: Die Arbeiterkammer, der WWF und das Bundesamt für Wald ha­ben kritisiert, dass es in Österreich sowohl an der Qualität als auch an der Quantität der Kontrollen mangelt. Deshalb ist es einfach wichtig, geschätzte Frau Minister, dass da in Zukunft genug Personal eingesetzt wird, um das Ganze auch kontrollieren zu können. Das ist eine ganz entscheidende Geschichte, um letztendlich das Gesetz auch richtig umzusetzen.";4;1193;"2021_115NRSITZ_Klaus_Köchl_SPÖ_7106.txt";"";"";"";""
166;2021-07-07 15:41:55;"Martin Litschauer";"Grüne";"Maßnahmen gegen illegalen Holzeinschlag (Straferhöhungen) helfen, da nur nachhaltige Forstwirtschaft CO2 Speicherung (im Holzbau) machen kann";1;174;841;"Auch in Niederösterreich gibt es einen Urwald, den Rothwald, und ich bin froh, dass wir solche Gebiete in Österreich noch zu den geschützten Gebieten zählen können, und möchte Kollegen Kühberger für den Beitrag mit der CO2-Speicherung im Holzbau danken, denn das ist, glaube ich, eine ganz wichtige Komponente – und funk­tioniert natürlich nur, wenn das Holz aus nachhaltiger Wirtschaft kommt und nicht illegal geschlägert wird. Wenn dort nicht mehr nachgeforstet wird, dann hat das eben mit der Holzspeicherung in der Kette nicht ganz funktioniert, und deswegen müssen wir ganz entschieden dagegen auftreten und deswegen ist diese Erhöhung der Strafen ganz wich­tig.";4;1195;"2021_115NRSITZ_Martin_Litschauer_GRÜNE_7105.txt";"";"";"";""
167;2021-07-07 15:41:55;"Martin Litschauer";"Grüne";"Es braucht strengere Kontrollen um illegalen Holzhandel zu verhindern";1;842;1136;"Der WWF hat 2019 aufgezeigt, dass es allerdings relativ wenige Kontrollen gibt und dass auch relativ wenige Fälle in Österreich aufgedeckt werden. Ich denke, das sollte für uns Ansporn sein, dass wir bei der Kontrolltätigkeit, auch was das Volumen der Kontrollen betrifft, noch einiges zulegen.";4;1195;"2021_115NRSITZ_Martin_Litschauer_GRÜNE_7105.txt";"";"";"";""
168;2021-07-07 15:41:55;"Martin Litschauer";"Grüne";"Transparenz in der Herkunft des Holzes ist wichtig für gesamte Wertschöpfungskette Holz";1;1137;1713;"Ich komme aus dem Waldviertel, und dort haben wir nicht nur Waldbesitzer, sondern auch sehr viele Sägewerke, Holzverarbeiter bis hin zu den Fertighausherstellern, das heißt eine sehr intensive Holzkette mit sehr vielen Arbeitsplätzen. Das ist, glaube ich, ganz wichtig, und da wird natürlich auch oft die Frage gestellt: Wo kommt das alles her? – vor allem wenn die mit Holz beladenen Lkws durch das Waldviertel fahren. Und da ist es natürlich ganz wichtig, dass wir sagen können, dass das aus einer nachhaltigen Wirtschaft kommt und dass wir das Holz damit aufstellen können.";4;1195;"2021_115NRSITZ_Martin_Litschauer_GRÜNE_7105.txt";"";"";"";""
169;2021-07-07 15:41:55;"Martin Litschauer";"Grüne";"Es sollten Maßnahmen getroffen werden um Holztransporte auf die Schiene zu verlagern";1;1714;1961;"Wir müssen uns aber, was die Holztransporte betrifft, schon auch noch überlegen, wie wir diese zum Beispiel auf die Schiene bringen, denn in manchen Ortschaften im Waldviertel liegt die Zahl die­ser Transporte schon weit über der Belastungsgrenze.";4;1195;"2021_115NRSITZ_Martin_Litschauer_GRÜNE_7105.txt";"";"";"";""
170;2021-07-07 15:41:55;"Martin Litschauer";"Grüne";"kostenwahrheit (mit Externalisierung von Transport) verhindert klimaschädlichen internationalen Holzhandel";1;1962;2599;"Zu den Holzpreisen, das ist auch noch Thema gewesen: Man kann jetzt sehen, dass in Amerika der Preis für Bauholz teilweise um 360 Prozent gestiegen ist, und das führt dazu, dass Holz aus Europa importiert wird. Das ist aber schon etwas, wo man hinschau­en muss! Der internationale Transport, der großteils in klimaschädlicher Art und Weise vonstattengeht, ermöglicht natürlich, dass Holz quer durch die Welt transportiert wird. Ich denke, da sollten wir mehr Kostenwahrheit erreichen, auch was den Transport be­trifft, dann würden wir diese Preissteigerungen und diesen Abtransport von Europa nach Amerika nicht in diesem Ausmaß erleben.";4;1195;"2021_115NRSITZ_Martin_Litschauer_GRÜNE_7105.txt";"";"";"";""
111;2021-07-07 15:41:55;"Martina Diesner-Wais";"övp";"Nutzung von Schadholz und Pflegeholz als Biomasse und Biogas wichtig im EAG";1;1326;1806;"In den letzten Jahren, in denen der Bor­kenkäfer und die Windwürfe sehr stark waren, haben wir gesehen, wie wichtig es ist, aus Holz Energie zu erzeugen. Es ist notwendig, um das Schadholz und auch das Pflegeholz zu verwerten. Daher habe ich mich stark dafür eingesetzt, dass Biomasse und Biogas auch in Zukunft in diesem Gesetz einen wesentlichen Faktor darstellen. Ich sage, es wäre nicht verantwortungsvoll, dass Biomasseanlagen, die funktionieren, nicht weiter genutzt werden.";4;1196;"2021_115NRSITZ_Martina_Diesner-Wais_ÖVP_6971.txt";"";"";"";""
96;2021-07-07 15:41:55;"Peter Schmiedlechner";"FPÖ";"Novelle des Holzhandelsüberwachungsgesetzes bietet strengere Kontrollmöglichkeiten gegen illegal geschlägertes Holz";1;173;412;"Heute werden wir eine Änderung des Holzhandelsüberwachungsgeset­zes beschließen. Diese unterstützen wir. Eine strengere Kontrollmöglichkeit von Holz, das im Verdacht steht, illegal geschlagen worden zu sein, ist begrüßenswert, keine Frage.";4;1198;"2021_115NRSITZ_Peter_Schmiedlechner_FPÖ_7098.txt";"";"";"";""
100;2021-07-07 15:41:55;"Peter Schmiedlechner";"FPÖ";"Niedrige Rundholzpreise schaden Forstwirten, während Sägeindustrie mit hohen Schnittholzpreisen viel verdient. ";1;500;603;"Während die Sägeindustrie zweimal verdient, werden die Rohstoffproduzenten – die Forstwirte – abgezockt";4;1198;"2021_115NRSITZ_Peter_Schmiedlechner_FPÖ_7098.txt";"";"";"";""
102;2021-07-07 15:41:55;"Peter Schmiedlechner";"FPÖ";"BIlligimporte von Rundholz führen zu Preisverfall in Österreich.";1;775;853;"Gleichzeitig wurde mit Billigimporten der Rohstoffpreisverfall noch angefeuert";4;1198;"2021_115NRSITZ_Peter_Schmiedlechner_FPÖ_7098.txt";"";"";"";""
101;2021-07-07 15:41:55;"Peter Schmiedlechner";"FPÖ";"ÖVP hat versprochen Rohstoffpreisverfall bei Forstwirten entgegen zu wirken, aber nichts getan.";0;855;916;"Damals kamen viele Versprechen von der ÖVP, aber keine Taten.";4;1198;"2021_115NRSITZ_Peter_Schmiedlechner_FPÖ_7098.txt";"";"";"";""
103;2021-07-07 15:41:55;"Peter Schmiedlechner";"FPÖ";"Hohe Preise für Bau- und Schnittholz schaden Konsument*innen/ Häuslbauern";1;1158;1246;"Die Forstwirte werden billigst abgespeist, und somit wird auch der Häuslbauer abgezockt.";4;1198;"2021_115NRSITZ_Peter_Schmiedlechner_FPÖ_7098.txt";"";"";"";""
109;2021-07-07 15:41:55;"Ruth Becher";"spö";"Novelle des Holzhandelsüberwachungsgesetzes ist eine verspätete Umsetzung einer EU-Richtlinie";1;186;395;"Mit dem Holzhandelsüberwachungsgesetz kommen wir der Verpflichtung nach, eine EU-Richtlinie umzusetzen, und das tun wir eigentlich zu einem späten Zeitpunkt, denn das hätte schon mit Juni 2021 erfolgen sollen.";4;1200;"2021_115NRSITZ_Ruth_Becher_SPÖ_7107.txt";"";"";"";""
110;2021-07-07 15:41:55;"Ruth Becher";"spö";"Obwohl Österreich zu 48% aus Wald besteht, kann der Eigenbedarf (auch an Bauholz) nicht immer gedeckt werden.";1;396;575;"Dass Öster­reich als waldreiches Land derzeit nicht immer sicher seinen Eigenbedarf – auch an Bau­holz – decken kann, sehr zur Verzweiflung vieler Häuslbauer, passt auch ins Bild.";4;1200;"2021_115NRSITZ_Ruth_Becher_SPÖ_7107.txt";"";"";"";""
85;2021-07-07 20:25:00;"Andreas Kühberger";"övp";"forstwirtschaft ist ein arbeitsintensiver und gefährlicher Wirtschaftszweig";1;471;682;"Nein, meine Damen und Herren, so ist es nicht. Die österreichische nachhaltige Forst­wirtschaft ist ein über Jahrzehnte, ja über Generationen betriebener Wirtschaftszweig, der sehr viele fleißige Hände benötigt.";4;1185;"2021_115NRSITZ_Andreas_Kühberger_ÖVP_7096.txt";"";"";"";""
86;2021-07-07 20:25:00;"Andreas Kühberger";"övp";"klimaveränderungen und preisschwankungen sind wirtschaftliche Herausforderung";1;1826;2012;"Wir haben aber auch eine wirtschaftliche Herausforderung, zum einen durch die Klima­veränderung – Borkenkäfer, Schneedruck, Trockenheit –, aber auch, was den Preis für das Holz betrifft.";4;1185;"2021_115NRSITZ_Andreas_Kühberger_ÖVP_7096.txt";"";"";"";""
83;2021-07-07 20:25:00;"Andreas Kühberger";"övp";"strengeres Holzhandelsüberwachungsgesetz schützt nachhaltige Forstwirtschaft in Österreich";1;2290;2933;"Warum erzähle ich Ihnen das heute? – Weil wir mit diesem Tagesordnungspunkt heute eine wichtige Maßnahme setzen, indem wir die nachhaltige Forstwirtschaft in Österreich unterstützen. Mit diesem Holzhandelsüberwachungsgesetz – wobei, wenn ich hier auf meine Vorrednerin Frau Salzmann eingehe, in Wahrheit brauchen wir auch beim Wolf ein Wolfshandelsüberwachungsgesetz, was NGOs betrifft –, das ganz, ganz wichtig für die nachhaltige Forstwirtschaft in Österreich ist, setzen wir zum einen eine EU-Richtlinie um. Heute wurde es ja beim EAG schon debattiert, da geht es um die Wertschöpfungs­kette der landwirtschaftlichen Biomasse in Österreich.";4;1185;"2021_115NRSITZ_Andreas_Kühberger_ÖVP_7096.txt";"";"";"";""
84;2021-07-07 20:25:00;"Andreas Kühberger";"övp";"Höhere Strafen für illegal geschlägertes Holz schützen heimische Arbeitsplätze";1;2934;3431;"Zum anderen werden für illegal geschlägertes Holz, das des Öfteren noch nach Öster­reich importiert wird, die Strafen empfindlich erhöht, teilweise um das Dreifache – und das ist auch gut so. Bei einem Vorsatz oder Wiederholungsfall ist die Höchststrafhöhe zukünftig statt 30 000 Euro 100 000 Euro, und das, meine Damen und Herren, ist ganz wichtig, auch unter dem Aspekt, dass über 300 000 Menschen hier in Österreich im Forst, aber auch bei den weiterverarbeitenden Betrieben ihre Arbeit finden.";4;1185;"2021_115NRSITZ_Andreas_Kühberger_ÖVP_7096.txt";"";"";"";""
